prompt_id,prompt,prompt_family,scene_context_type,scene_context,composition
spatial_natural_single_001,A realistic image of a safety pin to the right of a tiny coin on a cluttered desk with many office supplies.,spatial_layout,natural,on a cluttered desk with many office supplies,single
spatial_natural_single_003,A realistic image of a beige binder clip to the left of a small washer on a craft table with beads and art supplies.,spatial_layout,natural,on a craft table with beads and art supplies,single
spatial_natural_single_006,A realistic image of a rubber band lower in the image than a bottle cap on a craft table with beads and art supplies.,spatial_layout,natural,on a craft table with beads and art supplies,single
spatial_natural_single_009,A realistic image of a marble higher in the image than a safety pin on a dining table with plates and utensils nearby.,spatial_layout,natural,on a dining table with plates and utensils nearby,single
spatial_natural_single_012,A realistic image of a tiny coin to the right of a thumbtack on a picnic blanket with many small objects.,spatial_layout,natural,on a picnic blanket with many small objects,single
spatial_natural_single_015,A realistic image of a small washer lower in the image than a metallic paper clip on a shelf full of books and decorations.,spatial_layout,natural,on a shelf full of books and decorations,single
spatial_simple_single_019,A clean front-facing image of a beige binder clip in the lower-right area relative to a thumbtack on a clean surface with a few unrelated objects.,spatial_layout,simple,on a clean surface with a few unrelated objects,single
spatial_simple_single_022,A clean front-facing image of a transparent button lower in the image than a metallic paper clip on a clean surface with a few unrelated objects.,spatial_layout,simple,on a clean surface with a few unrelated objects,single
spatial_simple_single_025,A clean front-facing image of a die higher in the image than a sewing needle on a lightly cluttered tabletop.,spatial_layout,simple,on a lightly cluttered tabletop,single
spatial_simple_single_028,A clean front-facing image of a rubber band higher in the image than a small washer on a plain desk with soft shadows.,spatial_layout,simple,on a plain desk with soft shadows,single
attribute_natural_single_006,A realistic image of a matte black sewing needle next to a glossy white transparent button on a craft table with beads and art supplies.,attribute_binding,natural,on a craft table with beads and art supplies,single
attribute_natural_single_012,A realistic image of a blue-and-white striped die next to a polka-dotted safety pin on a dining table with plates and utensils nearby.,attribute_binding,natural,on a dining table with plates and utensils nearby,single
attribute_natural_single_018,A realistic image of a polka-dotted rubber band next to a black-and-white checkered beige binder clip on a picnic blanket with many small objects.,attribute_binding,natural,on a picnic blanket with many small objects,single
attribute_simple_single_024,A clean front-facing image of a black-and-white checkered tiny coin next to a red-and-white striped marble on a clean surface with a few unrelated objects.,attribute_binding,simple,on a clean surface with a few unrelated objects,single
attribute_simple_single_030,A clean front-facing image of a blue-and-white striped metallic paper clip next to a matte black sewing needle on a plain desk with soft shadows.,attribute_binding,simple,on a plain desk with soft shadows,single
cardinality_natural_single_001,A realistic image of exactly 6 small sewing needles on a cluttered desk with many office supplies.,cardinality,natural,on a cluttered desk with many office supplies,single
cardinality_natural_single_011,A realistic image of exactly 7 small tiny coins on a dining table with plates and utensils nearby.,cardinality,natural,on a dining table with plates and utensils nearby,single
cardinality_natural_single_021,A realistic image of exactly 7 small rubber bands on a workbench with tools.,cardinality,natural,on a workbench with tools,single
cardinality_simple_single_026,A clean front-facing image of exactly 6 small small washers on a lightly cluttered tabletop.,cardinality,simple,on a lightly cluttered tabletop,single
cardinality_simple_single_030,A clean front-facing image of exactly 6 small transparent buttons on a plain desk with soft shadows.,cardinality,simple,on a plain desk with soft shadows,single
combo_attr_spatial_natural_001,A realistic image of a blue-and-white striped beige binder clip higher in the image than a red-and-white striped rubber band on a cluttered desk with many office supplies.,combined_attribute_spatial,natural,on a cluttered desk with many office supplies,combined
combo_attr_spatial_natural_011,A realistic image of a matte black rubber band in the lower-right area relative to a black-and-white checkered die on a dining table with plates and utensils nearby.,combined_attribute_spatial,natural,on a dining table with plates and utensils nearby,combined
combo_attr_spatial_natural_021,A realistic image of a glossy white sewing needle in the upper-left area relative to a black-and-white checkered thumbtack on a workbench with tools.,combined_attribute_spatial,natural,on a workbench with tools,combined
combo_attr_spatial_simple_026,A clean front-facing image of a translucent thumbtack to the right of a matte black rubber band on a clean surface with a few unrelated objects.,combined_attribute_spatial,simple,on a clean surface with a few unrelated objects,combined
combo_attr_spatial_simple_030,A clean front-facing image of a translucent metallic paper clip to the right of a reflective metallic marble on a plain desk with soft shadows.,combined_attribute_spatial,simple,on a plain desk with soft shadows,combined
combo_card_spatial_natural_005,A realistic image of exactly 5 small bottle caps to the left of a beige binder clip on a craft table with beads and art supplies.,combined_cardinality_spatial,natural,on a craft table with beads and art supplies,combined
combo_card_spatial_natural_010,A realistic image of exactly 6 small thumbtacks to the right of a small washer on a crowded kitchen counter.,combined_cardinality_spatial,natural,on a crowded kitchen counter,combined
combo_card_spatial_natural_015,A realistic image of exactly 5 small dies lower in the image than a marble on a picnic blanket with many small objects.,combined_cardinality_spatial,natural,on a picnic blanket with many small objects,combined
combo_card_spatial_simple_025,A clean front-facing image of exactly 6 small tiny coins in the lower-right area relative to a safety pin on a clean surface with a few unrelated objects.,combined_cardinality_spatial,simple,on a clean surface with a few unrelated objects,combined
combo_card_spatial_simple_030,A clean front-facing image of exactly 7 small safety pins higher in the image than a sewing needle on a plain desk with soft shadows.,combined_cardinality_spatial,simple,on a plain desk with soft shadows,combined
