repair_id,repaired_image_id,source_image_id,source_prompt_id,constraint_id,constraint_type,check_text,before_label,after_label,after_notes,is_target_constraint
repair_vlm_001_job_0001_gpt_image_1_00,repair_job_vlm_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,combined_attribute_cardinality_001_identity_object_1,object_identity,Does the image contain a clearly identifiable bottle cap?,ambiguous,,,True
repair_vlm_001_job_0001_gpt_image_1_00,repair_job_vlm_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,combined_attribute_cardinality_001_identity_object_2,object_identity,Does the image contain a clearly identifiable marble?,pass,,,True
repair_vlm_001_job_0001_gpt_image_1_00,repair_job_vlm_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,combined_attribute_cardinality_001_cardinality,cardinality,Does the image contain exactly 3 clearly visible bottle caps?,fail,,,True
repair_vlm_001_job_0001_gpt_image_1_00,repair_job_vlm_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,combined_attribute_cardinality_001_attribute_object_1,attribute,Does the image show a ceramic bottle cap?,pass,,,False
repair_vlm_001_job_0001_gpt_image_1_00,repair_job_vlm_0001_gpt_image_1_00,job_0001_gpt_image_1_00,combined_attribute_cardinality_001,combined_attribute_cardinality_001_attribute_object_2,attribute,Does the image show a plastic marble?,pass,,,True
repair_vlm_002_job_0002_gemini_2_5_flash_image_00,repair_job_vlm_0002_gemini_2_5_flash_image_00,job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,combined_attribute_cardinality_026_identity_object_1,object_identity,Does the image contain a clearly identifiable standard sewing button?,pass,,,False
repair_vlm_002_job_0002_gemini_2_5_flash_image_00,repair_job_vlm_0002_gemini_2_5_flash_image_00,job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,combined_attribute_cardinality_026_identity_object_2,object_identity,Does the image contain a clearly identifiable small box?,pass,,,False
repair_vlm_002_job_0002_gemini_2_5_flash_image_00,repair_job_vlm_0002_gemini_2_5_flash_image_00,job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,combined_attribute_cardinality_026_cardinality,cardinality,Does the image contain exactly 6 clearly visible standard sewing buttons?,fail,,,True
repair_vlm_002_job_0002_gemini_2_5_flash_image_00,repair_job_vlm_0002_gemini_2_5_flash_image_00,job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,combined_attribute_cardinality_026_attribute_object_1,attribute,Does the image show a matte black standard sewing button?,pass,,,False
repair_vlm_002_job_0002_gemini_2_5_flash_image_00,repair_job_vlm_0002_gemini_2_5_flash_image_00,job_0002_gemini_2_5_flash_image_00,combined_attribute_cardinality_026,combined_attribute_cardinality_026_attribute_object_2,attribute,Does the image show a blue-and-white striped small box?,pass,,,False
repair_vlm_003_job_0003_gpt_image_1_00,repair_job_vlm_0003_gpt_image_1_00,job_0003_gpt_image_1_00,combined_attribute_cardinality_025,combined_attribute_cardinality_025_identity_object_1,object_identity,Does the image contain a clearly identifiable coin?,ambiguous,,,True
repair_vlm_003_job_0003_gpt_image_1_00,repair_job_vlm_0003_gpt_image_1_00,job_0003_gpt_image_1_00,combined_attribute_cardinality_025,combined_attribute_cardinality_025_identity_object_2,object_identity,Does the image contain a clearly identifiable napkin?,pass,,,False
repair_vlm_003_job_0003_gpt_image_1_00,repair_job_vlm_0003_gpt_image_1_00,job_0003_gpt_image_1_00,combined_attribute_cardinality_025,combined_attribute_cardinality_025_cardinality,cardinality,Does the image contain exactly 6 clearly visible coins?,fail,,,True
repair_vlm_003_job_0003_gpt_image_1_00,repair_job_vlm_0003_gpt_image_1_00,job_0003_gpt_image_1_00,combined_attribute_cardinality_025,combined_attribute_cardinality_025_attribute_object_1,attribute,Does the image show a glossy white coin?,pass,,,True
repair_vlm_003_job_0003_gpt_image_1_00,repair_job_vlm_0003_gpt_image_1_00,job_0003_gpt_image_1_00,combined_attribute_cardinality_025,combined_attribute_cardinality_025_attribute_object_2,attribute,Does the image show a blue-and-white striped napkin?,pass,,,False
repair_vlm_004_job_0004_gemini_2_5_flash_image_00,repair_job_vlm_0004_gemini_2_5_flash_image_00,job_0004_gemini_2_5_flash_image_00,combined_attribute_cardinality_019,combined_attribute_cardinality_019_identity_object_1,object_identity,Does the image contain a clearly identifiable coin?,pass,,,True
repair_vlm_004_job_0004_gemini_2_5_flash_image_00,repair_job_vlm_0004_gemini_2_5_flash_image_00,job_0004_gemini_2_5_flash_image_00,combined_attribute_cardinality_019,combined_attribute_cardinality_019_identity_object_2,object_identity,Does the image contain a clearly identifiable die?,pass,,,False
